assists,games,goals,understat_id,key_passes,npg,npxG,name,position,red_cards,shots,team,minutes,xA,xG,xGBuildup,xGChain,yellow_cards,xG90,xA90
0,1,0,5740,0,0,0.0,Adama Diakhaby,S,0,0,HUD,18,0.0,0.0,0.03,0.03,0,0.0,0.0
0,1,0,5759,0,0,0.02,Matteo Guendouzi,M,0,1,ARS,90,0.0,0.02,0.15,0.15,0,0.02,0.0
0,1,0,6030,1,0,0.0,Zanka,D,0,0,HUD,90,0.25,0.0,0.0,0.0,0,0.0,0.25
0,1,0,6031,0,0,0.0,Christopher Schindler,D,0,0,HUD,90,0.0,0.0,0.02,0.02,1,0.0,0.0
0,1,0,6032,1,0,0.0,Chris Löwe,M,0,0,HUD,72,0.02,0.0,0.0,0.02,0,0.0,0.03
0,1,0,6033,1,0,0.0,Aaron Mooy,M,0,0,HUD,90,0.01,0.0,0.0,0.0,0,0.0,0.01
0,1,0,1303,0,0,0.0,Stephan Lichtsteiner,S,0,0,ARS,56,0.0,0.0,0.02,0.02,0,0.0,0.0
0,1,0,6038,1,0,0.07,Laurent Depoitre,S,0,1,HUD,43,0.03,0.07,0.0,0.1,0,0.15,0.06
0,1,0,6044,0,0,0.0,Charlie Taylor,S,0,0,BUR,2,0.0,0.0,0.0,0.0,0,0.0,0.0
0,1,0,6046,1,0,0.0,Bruno,D,0,0,BHA,25,0.07,0.0,0.07,0.07,0,0.0,0.27
0,1,0,6047,0,0,0.0,Shane Duffy,D,0,0,BHA,90,0.0,0.0,0.05,0.05,0,0.0,0.0
0,1,0,6048,0,0,0.0,Lewis Dunk,D,0,0,BHA,90,0.0,0.0,0.07,0.07,0,0.0,0.0
0,1,0,6050,0,0,0.02,Davy Pröpper,M,0,1,BHA,90,0.0,0.02,0.12,0.12,0,0.02,0.0
0,1,0,6817,0,0,0.0,Fred,M,0,0,MUN,77,0.0,0.0,0.1,0.1,1,0.0,0.0
0,1,0,6051,1,0,0.07,Dale Stephens,M,0,1,BHA,90,0.03,0.07,0.12,0.15,1,0.07,0.03
0,1,0,6054,0,0,0.0,Ederson,GK,0,0,MCI,90,0.0,0.0,0.07,0.07,0,0.0,0.0
0,1,0,6067,0,0,0.0,Terence Kongolo,D,0,0,HUD,90,0.0,0.0,0.0,0.0,1,0.0,0.0
0,1,0,6080,0,0,0.0,Victor Lindelöf,D,0,0,MUN,90,0.0,0.0,0.04,0.04,0,0.0,0.0
0,1,0,6104,0,0,0.12,Will Hughes,M,0,3,WAT,83,0.0,0.12,0.08,0.14,0,0.13,0.0
